province,code
Abra,AB
Agusan Del Norte,AN
Agusan Del Sur,AS
Aklan,AK
Albay,AL
Antique,AQ
Apayao,AP
Aurora,AU
Basilan,BS
Bataan,BN
Batanes,BT
Batangas,BG
Benguet,BE
Biliran,BL
Bohol,BH
Bukidnon,BK
Bulacan,BC
Cagayan,CG
Camarines Norte,CN
Camarines Sur,CS
Camiguin,CM
Capiz,CZ
Catanduanes,CT
Cavite,CV
Cebu,CE
Compostela Valley,CP
Cotabato,CO
Davao Del Norte,DN
Davao Del Sur,DS
Davao Occidental,DC
Davao Oriental,DR
Dinagat Islands,DI
Eastern Samar,ES
Guimaras,GM
Ifugao,IF
Ilocos Norte,IN
Ilocos Sur,IS
Iloilo,IL
Isabela,IA
Kalinga,KA
La Union,LU
Laguna,LG
Lanao Del Norte,LN
Lanao Del Sur,LS
Leyte,LY
Maguindanao,MG
Marinduque,MQ
Masbate,MS
Metro Manila,MM
Misamis Occidental,MC
Misamis Oriental,MR
Mountain Province,MP
Negros Occidental,NC
Negros Oriental,NR
Northern Samar,NS
Nueva Ecija,NE
Nueva Vizcaya,NV
Occidental Mindoro,OC
Oriental Mindoro,OR
Palawan,PW
Pampanga,PM
Pangasinan,PG
Quezon,QZ
Quirino,QI
Rizal,RZ
Romblon,RM
Samar,SM
Sarangani,SI
Siquijor,SQ
Sorsogon,SO
South Cotabato,SC
Southern Leyte,SL
Sultan Kudarat,SK
Sulu,SU
Surigao Del Norte,SN
Surigao Del Sur,SS
Tarlac,TR
Tawi-Tawi,TW
Zambales,ZM
Zamboanga Del Norte,ZN
Zamboanga Del Sur,ZS
Zamboanga Sibugay,ZY
