province,municipality,barangay,psgc,unified,postal
Abra,Bangued,Agtangao,140101001,AB01001,2800
Abra,Bangued,Angad,140101002,AB01002,2800
Abra,Bangued,Banacao,140101003,AB01003,2800
Abra,Bangued,Bangbangar,140101004,AB01004,2800
Abra,Bangued,Cabuloan,140101005,AB01005,2800
Abra,Bangued,Calaba,140101006,AB01006,2800
Abra,Bangued,Cosili East,140101009,AB01009,2800
Abra,Bangued,Cosili West,140101008,AB01008,2800
Abra,Bangued,Dangdangla,140101010,AB01010,2800
Abra,Bangued,Lingtan,140101011,AB01011,2800
Abra,Bangued,Lipcan,140101012,AB01012,2800
Abra,Bangued,Lubong,140101013,AB01013,2800
Abra,Bangued,Macarcarmay,140101014,AB01014,2800
Abra,Bangued,Macray,140101016,AB01016,2800
Abra,Bangued,Malita,140101017,AB01017,2800
Abra,Bangued,Maoay,140101015,AB01015,2800
Abra,Bangued,Palao,140101018,AB01018,2800
Abra,Bangued,Patucannay,140101019,AB01019,2800
Abra,Bangued,Sagap,140101020,AB01020,2800
Abra,Bangued,San Antonio,140101021,AB01021,2800
Abra,Bangued,Santa Rosa,140101022,AB01022,2800
Abra,Bangued,Sao-Atan,140101023,AB01023,2800
Abra,Bangued,Sappaac,140101024,AB01024,2800
Abra,Bangued,Tablac,140101007,AB01007,2800
Abra,Bangued,Zone 1 Pob.,140101031,AB01031,2800
Abra,Bangued,Zone 2 Pob.,140101025,AB01025,2800
Abra,Bangued,Zone 3 Pob.,140101026,AB01026,2800
Abra,Bangued,Zone 4 Pob.,140101027,AB01027,2800
Abra,Bangued,Zone 5 Pob.,140101028,AB01028,2800
Abra,Bangued,Zone 6 Pob.,140101029,AB01029,2800
Abra,Bangued,Zone 7 Pob.,140101030,AB01030,2800
Abra,Boliney,Amti,140102001,AB02001,2815
Abra,Boliney,Bao-Yan,140102002,AB02002,2815
Abra,Boliney,Danac East,140102003,AB02003,2815
Abra,Boliney,Danac West,140102008,AB02008,2815
Abra,Boliney,Dao-Angan,140102004,AB02004,2815
Abra,Boliney,Dumagas,140102005,AB02005,2815
Abra,Boliney,Kilong-Olao,140102006,AB02006,2815
Abra,Boliney,Poblacion,140102007,AB02007,2815
Abra,Bucay,Abang,140103001,AB03001,2805
Abra,Bucay,Bangbangcag,140103002,AB03002,2805
Abra,Bucay,Bangcagan,140103003,AB03003,2805
Abra,Bucay,Banglolao,140103004,AB03004,2805
Abra,Bucay,Bugbog,140103005,AB03005,2805
Abra,Bucay,Calao,140103006,AB03006,2805
Abra,Bucay,Dugong,140103007,AB03007,2805
Abra,Bucay,Labon,140103008,AB03008,2805
Abra,Bucay,Layugan,140103009,AB03009,2805
Abra,Bucay,Madalipay,140103010,AB03010,2805
Abra,Bucay,North Poblacion,140103016,AB03016,2805
Abra,Bucay,Pagala,140103011,AB03011,2805
Abra,Bucay,Pakiling,140103013,AB03013,2805
Abra,Bucay,Palaquio,140103012,AB03012,2805
Abra,Bucay,Patoc,140103014,AB03014,2805
Abra,Bucay,Quimloong,140103018,AB03018,2805
Abra,Bucay,Salnec,140103019,AB03019,2805
Abra,Bucay,San Miguel,140103020,AB03020,2805
Abra,Bucay,Siblong,140103021,AB03021,2805
Abra,Bucay,South Poblacion,140103017,AB03017,2805
Abra,Bucay,Tabiog,140103022,AB03022,2805
Abra,Bucloc,Ducligan,140104001,AB04001,2817
Abra,Bucloc,Labaan,140104002,AB04002,2817
Abra,Bucloc,Lamao,140104004,AB04004,2817
Abra,Bucloc,Lingay,140104003,AB04003,2817
Abra,Daguioman,Ableg,140105001,AB05001,2816
Abra,Daguioman,Cabaruyan,140105002,AB05002,2816
Abra,Daguioman,Pikek,140105003,AB05003,2816
Abra,Daguioman,Tui,140105004,AB05004,2816
Abra,Danglas,Abaquid,140106001,AB06001,2825
Abra,Danglas,Cabaruan,140106003,AB06003,2825
Abra,Danglas,Caupasan,140106004,AB06004,2825
Abra,Danglas,Danglas,140106005,AB06005,2825
